"specimen","Comp-BV570-A","Comp-RB780-A","Comp-BUV661-A","Comp-PE-Vio770-A"
"INF052",106.424263991582,113.592536932797,113.692917043947,129.956067885481
"INF100",103.334329558322,106.195861085695,114.695297489252,125.460457987425
"INF179",109.892671508476,100,110.017077537301,120
"NY068_02",114.44752533505,112.133108387299,100,133.709971936359
"INF134",100,113.899202871714,101.302693026068,125.811867021622
"INF148",109.949145031619,112.754609559838,110.775256146054,120
"INF191",112.209544670362,111.555103684978,104.674182267432,121.141104977857
"NY068_03",104.775083709028,105.430199017279,100,120
"INF124",103.735832882725,103.344347956021,102.541515293845,120
"INF149",102.387798413098,113.795606843118,102.560629994232,134.068224019725
"INF169",111.743349373936,114.87276267293,109.46548701604,120
"NY068_04",101.860162054948,114.482816092111,100,120
"INF019",100,110.091177393405,111.038012098787,124.799125872114
"INF032",100.125549331944,113.590395718879,100.374156505731,120
"INF180",109.814331044613,100,113.162464217467,120
"NY068_05",113.106488338746,107.795454850738,100,129.254510789797
"INF155",110.619649437011,104.221505111598,108.279798188384,132.055301655371
"INF158",103.495117487796,105.116561693851,100.132769913519,125.533459847845
"INF159",102.400653702637,109.37393738034,106.104479255093,120
"NY068_06",102.955755970514,103.385951020769,100,120
"INF023",100,109.675675525384,108.111414968769,133.571355316217
"INF030",100,112.327298350123,108.5369038721,129.92264641195
"NY068_07",100,103.322686687819,100,120
"INF166",100.869249405318,100,108.112093710673,120
"INF199",108.900287435161,101.89139364265,111.40713950029,128.53882115586
"INF207",100,108.602607835887,100.843377469301,125.951560962504
"NY068_08",111.683041088734,112.193716869826,100,120
"INF614",108.519258590539,103.218069280491,100.635388530411,125.920304340932
"INF622",104.767756835634,105.214652298618,103.361495216044,134.99338362701
"NY068_09",100,100.681119613524,100,120
