"specimen","Comp-BV570-A","Comp-RB780-A","Comp-BUV661-A","Comp-PE-Vio770-A"
"INF052",106.424263991582,102,100,129.956067885481
"INF100",103.334329558322,100,100,125.460457987425
"INF179",102,100,98,120
"NY068_02",104,112.133108387299,100,128
"INF134",100,113.899202871714,101.302693026068,125.811867021622
"INF148",100,112.754609559838,110.775256146054,120
"INF191",112.209544670362,111.555103684978,102,121.141104977857
"NY068_03",104.775083709028,100,100,132
"INF124",103.735832882725,103.344347956021,100,120
"INF149",104,113.795606843118,102.560629994232,120
"INF169",100,104,100,120
"NY068_04",101.860162054948,106,100,128
"INF019",100,100,100,124.799125872114
"INF032",100.125549331944,104,100.374156505731,120
"INF180",109.814331044613,100,102,120
"NY068_05",113.106488338746,102,100,132
"INF155",110.619649437011,98,100,132.055301655371
"INF158",103.495117487796,100,100.132769913519,125.533459847845
"INF159",102.400653702637,109.37393738034,100,120
"NY068_06",102.955755970514,103.385951020769,100,124
"INF023",100,109.675675525384,100,133.571355316217
"INF030",100,112.327298350123,100,129.92264641195
"NY068_07",104,103.322686687819,100,130
"INF166",100.869249405318,100,104,120
"INF199",108.900287435161,101.89139364265,96,128.53882115586
"INF207",100,108.602607835887,100.843377469301,125.951560962504
"NY068_08",111.683041088734,112.193716869826,100,128
"INF614",108.519258590539,103.218069280491,100.635388530411,125.920304340932
"INF622",104.767756835634,105.214652298618,98,134.99338362701
"NY068_09",104,100.681119613524,100,132
